School Name,Educational Sub-District,Block Name,DB Latitude,DB Longitude,Google Matched Name,Google Latitude,Google Longitude,Distance Meters,Name Similarity,Management Mismatch,Notes
G L P S Puthanangadi,Mankada,Perinthalmanna,10.96752,76.188931,GLP School Puthanangadi,10.9676707,76.1888019,21.9,1.0,,
GMUPS Kizhisseri,Kizhisseri,Areacode,11.17007,75.99138,GMUP SCHOOL KIZHISSERI ALINCHUVADU,11.169887000000001,75.991428,21.0,1.0,,
G.M.U.P.S. Chirayil,Kondotty,,11.12842,75.97477,"GMUP School, Chirayil Chunkam",11.1285613,75.9748915,20.6,1.0,,
G.M.U.P.S. Kottakkal,Malappuram,,10.99913,76.00788,"GMUP School, Kottakkal",10.9991744,76.0080625,20.5,1.0,,
G.G.H.S.S. Manjeri,Manjeri,,11.120218,76.118038,"Government Girls Higher Secondary School, Manjeri",11.1202965,76.11787319999999,20.0,1.0,,
G.H. S. S. Kokkur,Edappal,Perumpadappa,10.730907,76.060525,GHS Kokkur,10.731062999999999,76.06044,19.7,1.0,,
Kooripoyil GLPS,Wandoor,Kalikavu,11.199853,76.297753,Govt LP School Kooripoyil,11.199848099999999,76.297933,19.6,1.0,,
G. L. P. S. Ozhur,Tanur,Tanur,10.966,75.90611,GLP School Ozhur,10.9659763,75.906285,19.3,1.0,,
G. M. U. P. S. Kodinhi,Tanur,Tirurangadi,11.01703,75.91072,Kodinhi GMUP School Kottathangadi,11.016981399999999,75.91088669999999,19.0,1.0,,
G. L. P. S. Thuyyam,Edappal,Ponnani,10.78511,75.98425,Govt.LP School Thuyyam,10.785231,75.984132,18.6,1.0,,
Karuvarakundu GLPS,Wandoor,Kalikavu,11.112713,76.327713,GLPS Karuvarakkund,11.1125463,76.32771450000001,18.5,0.923,,
G. M. L. P. S. Ayirani,Kuttippuram,Kuttippuram,10.93784,75.98762,Gmlp School Ayirani,10.937779899999999,75.9874653,18.2,1.0,,
GUPS Klari,Vengara,Vengara,10.99273,75.97987,GUPS Klari,10.9925762,75.9798186,18.0,1.0,,
G. L. P. S. Kuttippuram North,Kuttippuram,Kuttippuram,10.85369,76.03773,GLPS Kuttippuram North,10.8537163,76.0375681,17.9,1.0,,
G.L.P.S. Vettikkattiri,Manjeri,Wandoor,11.095161,76.213942,GLP School Vettikkattiri,11.0952884,76.2138525,17.2,1.0,,
GMLPS Iringallur,Vengara,Vengara,11.02338,76.00708,GMLP School Iringallur Kuzhippuram,11.023521899999999,76.00704820000001,16.2,1.0,,
G. L. P. S. Kaladi,Edappal,Ponnani,10.81377,76.01296,GLP School Kaladi,10.813843199999999,76.0130885,16.2,1.0,,
Mampad North GMLPS,Nilambur,Wandoor,11.247311,76.180297,GMLP SCHOOL MAMPAD NORTH,11.247399,76.1801864,15.5,1.0,,
GMLPS Edakkaparamba,Vengara,Vengara,11.0863,75.96675,GLP School Edakkaparamba,11.0863424,75.96662189999999,14.8,1.0,,
G.M.U.P.S. Ozhukur,Kondotty,Malappuram,11.15409,76.01258,"G.M.U.P School Ozhukur, Neravath",11.1541005,76.0124499,14.2,1.0,,
GLPS Kuzhimanna,Kizhisseri,Areacode,11.17135,76.01795,GLPS Kuzhimanna Kuzhiyamparamb,11.1713603,76.0180766,13.9,1.0,,
G.M.L.P.S. Morayur,Kondotty,Malappuram,11.13366,76.01528,"G.M.L.P School, Morayur",11.1337496,76.0153679,13.8,1.0,,
GLPS Orakam Kizhumuri,Vengara,Vengara,11.052021,75.993125,"GLPS OORAKAM KIZHUMURI,KUTTALOOR",11.0521022,75.9932142,13.3,1.0,,
GLPS Thachanna,Areacode,Areacode,11.2406,76.07077,Govt. LP School Thachanna,11.2406151,76.0706539,12.8,1.0,,
G. U. P. S. Karingappara,Tanur,Tanur,10.9862,75.94249,Govt. Upper Primary School Karingappara,10.9861676,75.9426002,12.6,1.0,,
G. L. P. S. Mookkuthala,Edappal,Perumpadappa,10.73319,76.01244,GLP School Mookkuthala,10.7332708,76.012518,12.4,1.0,,
G.M.U.P.S. Oravambram,Melattur,Perinthalmanna,11.08214,76.21665,GMUP School Oravampuram,11.082037399999999,76.21661069999999,12.2,0.857,,
Padikkal KalyaniAMMA Memorial G L P S Kallurma,Edappal,Perumpadappa,10.71287,76.01779,GLP School Kallurma,10.712978999999999,76.0177939,12.1,1.0,,
GLPS Olakara,Vengara,Tirurangadi,11.083855,75.930001,G L P School - Olakara,11.0838789,75.92989659999999,11.7,1.0,,
G U P S Mankada Pallippuram,Mankada,Mankada,11.06096,76.12727,GUPS Mankada Pallippuram,11.0608636,76.1273092,11.5,1.0,,
G.M.L.P.S. Kondotty Chungam,Kondotty,,11.14417,75.96867,"GMLP School, Kondotty - Chungam",11.144180799999999,75.9687709,11.1,1.0,,
GLPS Pallikunnu,Perinthalmanna,Perinthalmanna,10.99871,76.32037,GLP School Pallikunnu,10.9987538,76.3202791,11.1,1.0,,
G.L.P.S. Cheruvannur,Manjeri,Wandoor,11.143501,76.190853,GLP SCHOOL cheruvannur,11.1435403,76.1907622,10.8,1.0,,
Vadapuram GMLPS,Nilambur,Wandoor,11.258116,76.20282,Vadapuram GMLP School,11.258075,76.20291,10.8,1.0,,
GMLPS Pookalathur,Kizhisseri,Areacode,11.1575,76.05687,GMLPS Pookolathur,11.157582099999999,76.0568442,9.6,0.909,,
Maliyekkal GUPS,Wandoor,Kalikavu,11.194906,76.308246,Maliyekkal GUP School,11.194949699999999,76.3083211,9.5,1.0,,
CHAKKEERI AHAMMED KUTTY MEMORIAL G.M.U.P.S.CHERUR,Vengara,Vengara,11.0683,75.98593,Chakkeeri Hammed Kutty Memorial Up School,11.0682568,75.986002,9.2,1.0,,
G. M. L. P. S. Edakadappuram,Tanur,Tanur,10.96927,75.872743,GMLPS EDAKKADAPPURAM,10.9693384,75.8727009,8.9,0.963,,
G H S Kuruka,Vengara,Vengara,11.03964,75.96862,Kuruka Govt High School,11.039643700000001,75.96869769999999,8.5,1.0,,
G. L. P. S. Perumparamba,Edappal,Ponnani,10.8015,75.99547,GLP School Perumparamba,10.8015054,75.99554599999999,8.3,1.0,,
G. H. S. S. Maranchery,Ponnani,Perumpadappa,10.74075,75.97083,Govt HSS Maranchery,10.7406779,75.9708199,8.1,1.0,,
Pullippadam GLPS,Nilambur,Wandoor,11.24638,76.17012,GLP SCHOOL Pullippadam,11.2464113,76.1700638,7.0,1.0,,
GMUPS Valapuram,Perinthalmanna,Perinthalmanna,10.921364,76.165784,G M U P School Valapuram,10.9213316,76.1657311,6.8,1.0,,
Kizhakkethala GLPS,Wandoor,Kalikavu,11.124123,76.341958,GLPS Kizhakkethala,11.1241339,76.3419954,4.3,1.0,,
G.M.L.P.S. Odompatta,Manjeri,Wandoor,11.122876,76.267975,GMLP School Odompatta,11.1228736,76.2679765,0.3,1.0,,
