Name,Latitude,Longitude,Educational District,Educational Sub-District,Block Name,Level Name,Phone,School Code
Padikkal KalyaniAMMA Memorial G L P S Kallurma,10.712870000000001,76.017790000000005,Tirur,Edappal,Perumpadappa,1 - 4,9497658218,19210
Uliyathu Aboobacker Memmorial  G. L. P. S. Vadakkummuri,10.72425,75.999780000000001,Tirur,Edappal,Perumpadappa,1 - 4,04942656899,19231
G. H. S. Athavanad,10.897069999999999,76.023139999999998,Tirur,Kuttippuram,Kuttippuram,1 -10,04942572050,19357
G. H. S. S. Perassannur,10.852320000000001,76.067660000000004,Tirur,Kuttippuram,Kuttippuram,1 - 12,04942609519,19042
G. L. P. S. Athippetta,10.905290000000001,76.111949999999993,Tirur,Kuttippuram,Kuttippuram,1 - 4,,19301
G. L. P. S. Chellur,10.86938,76.042339999999996,Tirur,Kuttippuram,Kuttippuram,1 - 4,,19306
G. L. P. S. Cheruparamba,10.94788,76.025130000000004,Tirur,Kuttippuram,Kuttippuram,1 - 4,9846206327,19308
G. L. P. S. Chottur,10.9161,76.039640000000006,Tirur,Kuttippuram,Kuttippuram,1 - 4,04942616251,19310
G. L. P. S. Kalpakancheri,10.93859,75.976789999999994,Tirur,Kuttippuram,Kuttippuram,1 - 4,04942543848,19317
G. L. P. S. Karaikkad,10.926926,76.055676000000005,Tirur,Kuttippuram,Kuttippuram,1 - 4,9846556836,19319
G. L. P. S. Kattilangadi,10.89922,76.011259999999993,Tirur,Kuttippuram,Kuttippuram,1 - 4,04942571998,19321
G. L. P. S. Kattipparuthi,10.88288,76.057500000000005,Tirur,Kuttippuram,,1 - 4,9846554094,19322
G. L. P. S. Kulakkad,10.851369,76.040909999999997,Tirur,Kuttippuram,Kuttippuram,1 - 4,9746129200,19327
G. L. P. S. Kuttippuram,10.845313000000001,76.035837000000001,Tirur,Kuttippuram,Kuttippuram,1 - 4,9446546806,19329
G. L. P. S. Kuttippuram North,10.85369,76.037729999999996,Tirur,Kuttippuram,Kuttippuram,1 - 4,04942609986,19331
G. L. P. S. Maniyankad,10.87679,75.996650000000002,Tirur,Kuttippuram,Kuttippuram,1 - 4,9846677715,19333
G. L. P. S. Mankeri,10.853540000000001,76.082049999999995,Tirur,Kuttippuram,Kuttippuram,1 - 4,04942621453,19335
G. L. P. S. Melmuri,10.96109,76.025480000000002,Tirur,Kuttippuram,Kuttippuram,1 - 4,9745993924,19337
G. L. P. S. Naduvattam,10.88021,76.008750000000006,Tirur,Kuttippuram,Kuttippuram,1 - 4,9496584239,19339
G. L. P. S. Perumparamba Moodal,10.870200000000001,76.046589999999995,Tirur,Kuttippuram,Kuttippuram,1 - 4,9495160560,19345
G. L. P. S. Vadakkumbram,10.947849,76.077233000000007,Tirur,Kuttippuram,Kuttippuram,1 - 4,9895604085,19348
G. M. H. S. Karippole,10.9222,76.030100000000004,Tirur,Kuttippuram,Kuttippuram,1 -10,9633676962,19359
G. M. L. P. S. Ayirani,10.93784,75.987620000000007,Tirur,Kuttippuram,Kuttippuram,1 - 4,9446680877,19304
G. M. L. P. S. Kallarmangalam,10.94542,76.029880000000006,Tirur,Kuttippuram,Kuttippuram,1 - 4,,19313
G. M. L. P. S. Kalpakancheri,10.946999999999999,75.998639999999995,Tirur,Kuttippuram,Kuttippuram,1 - 4,7902279972,19315
G. M. L. P. S. Kanancheri,10.949199999999999,76.00376,Tirur,Kuttippuram,Kuttippuram,1 - 4,04942941610,19324
G. M. L. P. S. Manhachola,10.9421,75.993979999999993,Tirur,Kuttippuram,Kuttippuram,1 - 4,2610200,19332
G. M. L. P. S. Parappuram,10.955848,76.000038000000004,Tirur,Kuttippuram,Kuttippuram,1 - 4,9188831751,19341
G. M. L. P. S. Paravannur,10.927588,75.991884999999996,Tirur,Kuttippuram,Tanur,1 - 4,04942544151,19343
G. M. L. P. S. Valancheri,10.883929999999999,76.068420000000003,Tirur,Kuttippuram,,1 - 4,04942643250,19350
G. U. P. S. Koodasseri,10.91525,76.006799999999998,Tirur,Kuttippuram,Kuttippuram,1 - 7,,19363
G. U. P. S. Painkannur,10.87406,76.064099999999996,Tirur,Kuttippuram,,1 - 7,,19364
G. U. P. S. Randathani,10.96144,76.00752,Tirur,Kuttippuram,Kuttippuram,1 - 7,8589081947,19365
G. W. L. P. S. Irimbliyam,10.857390000000001,76.093389999999999,Tirur,Kuttippuram,Kuttippuram,1 - 4,9447376755,19312
G. F. L. P. S. Ponnani,10.74474,75.934209999999993,Tirur,Ponnani,,1 - 4,04942562786,19506
G. F. L. P. S. Puthuponnani,10.778658,75.919522000000001,Tirur,Ponnani,,1 - 5,04942663760,19535
G. F. L. P. S. Veliyancode,10.720421999999999,75.943877999999998,Tirur,Ponnani,Perumpadappa,1 - 5,04942679760,19536
G. F. U. P. S. Kadavanad,10.754025,75.941540000000003,Tirur,Ponnani,,1 - 7,04942664450,19544
G. F. U. P. S. Palapetty,10.703471,75.952635000000001,Tirur,Ponnani,Perumpadappa,1 - 7,04942678541,19541
G. H. S. S. Maranchery,10.74075,75.970830000000007,Tirur,Ponnani,Perumpadappa,1 - 12,04942671516,19054
G. H. S. S. Trikkavu,10.778978,75.931123999999997,Tirur,Ponnani,,1 - 12,04942669580,19045
G. L. P. S. Kanhiramukku,10.758710000000001,75.966890000000006,Tirur,Ponnani,Perumpadappa,1 - 5,9846288441,19533
G. L. P. S. Veliyancode Gramam,10.715579999999999,75.959999999999994,Tirur,Ponnani,Perumpadappa,1 - 4,9846456575,19516
G. L. P. S. Velleri,10.783647999999999,75.931890999999993,Tirur,Ponnani,,1 - 5,04942664480,19537
G. M. L. P. S. Ponnani Town,10.775853,75.922212999999999,Tirur,Ponnani,,1 - 4,9446541189,19507
G. M. L. P. S. Veliyancode,10.748939999999999,75.946814000000003,Tirur,Ponnani,Perumpadappa,1 - 4,04942672060,19519
G. M. U. P. S. Veliyancode South,10.725479999999999,75.952569999999994,Tirur,Ponnani,Perumpadappa,1 - 7,04942677289,19543
G. U. P. S. Cheruvayikkara,10.789099999999999,75.963610000000003,Tirur,Ponnani,,1 - 7,2664420,19539
G. M. L. P. S. Kuttayi North,10.849138,75.901949000000002,Tirur,Tirur,Tirur,1 - 4,04942631615,19713
G. M. L. P. S. Mangalam,10.854956,75.920975999999996,Tirur,Tirur,Tirur,1 - 4,04942569400,19719
G. M. L. P. S. Muttannur,10.83277,75.914959999999994,Tirur,Tirur,Tirur,1 - 4,9496459076,19723
G. M. L. P. S. Vettam Pallippuram,10.82254,75.951260000000005,Tirur,Tirur,Tirur,1 - 4,04942561100,19740
G. M. U. P. S. Edakkanad,10.823370000000001,75.920150000000007,Tirur,Tirur,Tirur,1 - 7,04942562492,19774
G. M. U. P. S. Paravanna,10.900722,75.892309999999995,Tirur,Tirur,Tirur,1 - 7,9846190709,19781
G. U. P. S. Purathupadinjarekkara,10.809760000000001,75.90925,Tirur,Tirur,Tirur,1 - 7,9497344062,19777
G. U. P. S. Purathur,10.804169999999999,75.921819999999997,Tirur,Tirur,Tirur,1 - 7,04942563278,19775
G. W. L. P. S. Purathur,10.80058,75.919460000000001,Tirur,Tirur,Tirur,1 - 5,04942563087,19765
G L P S Chengara,11.175789999999999,76.079639999999998,Wandoor,Areacode,Areacode,1 - 4,8589858943,48205
G L P S Pathanapuram,11.24532,76.044589999999999,Wandoor,Areacode,Areacode,1 - 4,04832851625,48221
G U P S Odakkayam,11.274431,76.128996999999998,Wandoor,Areacode,Areacode,1 - 7,8921529503,48245
GLPS Chemrakattur,11.20933,76.039609999999996,Wandoor,Areacode,Areacode,1 - 4,9946889792,48203
GLPS Kavanur,11.197194,76.055282000000005,Wandoor,Areacode,Areacode,1 - 4,9447393447,48210
GLPS Kizhuparamba South,11.243869999999999,76.012810000000002,Wandoor,Areacode,Areacode,1 - 4,,48213
GLPS Kozhakottur,11.22002,76.045389999999998,Wandoor,Areacode,Areacode,1 - 4,04832851450,48214
GLPS Kuniyil,11.25558,76.019379999999998,Wandoor,Areacode,Areacode,1 - 4,9745678386,48215
GLPS Kuniyil South,11.24197,76.021060000000006,Wandoor,Areacode,Areacode,1 - 4,04832858255,48216
GLPS Kuthuparamba,11.228630000000001,76.078739999999996,Wandoor,Areacode,Areacode,1 - 4,04832844048,48217
GLPS Palappatta,11.213015,76.120174000000006,Wandoor,Areacode,Areacode,1 - 4,04832944250,48219
GLPS Pavanna,11.2204,76.098439999999997,Wandoor,Areacode,Areacode,1 - 4,9544759072,48222
GLPS Thachanna,11.240600000000001,76.070769999999996,Wandoor,Areacode,Areacode,1 - 4,04832844692,48225
GLPS Thavarapparamba,11.189738999999999,76.048508999999996,Wandoor,Areacode,Areacode,1 - 4,04832862540,48226
GLPS Thencheri,11.23171,76.092920000000007,Wandoor,Areacode,Areacode,1 - 4,04832845688,48227
GMLPS Areacode West,11.239179999999999,76.048716999999996,Wandoor,Areacode,Areacode,1 - 4,8547791251,48202
GMLPS Kizhuparamba,11.24977,76.013469999999998,Wandoor,Areacode,Areacode,1 - 4,04832858160,48212
GMLPS Puthalam,11.226101,76.054243,Wandoor,Areacode,Areacode,1 - 4,,48224
GMUPS Areacode,11.236520000000001,76.051820000000006,Wandoor,Areacode,Areacode,1 - 7,04832851655,48237
GMUPS Mundambra,11.225390000000001,76.027619999999999,Wandoor,Areacode,Areacode,1 - 7,9048109132,48244
GUPS Chundathumpoyil,11.282532,76.067240999999996,Wandoor,Areacode,Areacode,1 - 7,2759378,48238
GUPS Maithra,11.228009999999999,76.063810000000004,Wandoor,Areacode,Areacode,1 - 7,04832844886,48242
GUPS Moorkanad,11.24091,76.057479999999998,Wandoor,Areacode,Areacode,1 - 7,04832844755,48243
G.L.P.S. Chemmaniyode,11.04589,76.282700000000006,Wandoor,Melattur,Perinthalmanna,1 - 5,04933278490,48330
G.L.P.S. Cheriparamba,11.06386,76.326040000000006,Wandoor,Melattur,Kalikavu,1 - 4,6235701138,48304
G.L.P.S. Edappatta,11.08461,76.276650000000004,Wandoor,Melattur,Kalikavu,1 - 4,9539218900,48339
G.L.P.S. Kara,11.00977,76.322090000000003,Wandoor,Melattur,Perinthalmanna,1 - 4,9288907728,48309
G.L.P.S. Kizhakkumpadam,11.07034,76.286550000000005,Wandoor,Melattur,Perinthalmanna,1 - 4,9495744721,48310
G.L.P.S. Kombamkallu,11.051583000000001,76.304586999999998,Wandoor,Melattur,Kalikavu,1 - 4,9447938447,48320
G.L.P.S. Melkulangara,11.01389,76.265709999999999,Wandoor,Melattur,Perinthalmanna,1 - 4,,48315
G.L.P.S. Pathirikode,11.067909999999999,76.303319999999999,Wandoor,Melattur,Kalikavu,1 - 4,04933279944,48319
G.L.P.S. Pattikkad,11.01924,76.235659999999996,Wandoor,Melattur,Perinthalmanna,1 - 4,,48321
G.L.P.S. Pezhumthara,11.05796,76.289900000000003,Wandoor,Melattur,Kalikavu,1 - 4,9497627954,48323
G.L.P.S. Thelakkad,11.022919999999999,76.258080000000007,Wandoor,Melattur,Perinthalmanna,1 - 4,9446511480,48328
G.L.P.S. Valayapuram,11.045030000000001,76.273420000000002,Wandoor,Melattur,Perinthalmanna,1 - 4,9497206784,48329
G.M.L.P.S. Nenmini,11.053459999999999,76.209400000000002,Wandoor,Melattur,Perinthalmanna,1 - 4,09446355685,48317
G.M.L.P.S. Pallikuth,11.015280000000001,76.229590000000002,Wandoor,Melattur,Perinthalmanna,1 - 4,04933235880,48318
G.M.U.P.S. Oravambram,11.082140000000001,76.216650000000001,Wandoor,Melattur,Perinthalmanna,1 - 7,04832784939,48333
M.P.G.L.P.S. Puthanpally,11.03177,76.280019999999993,Wandoor,Melattur,Perinthalmanna,1 - 4,9497659670,48326
Edivanna Estate GLPS,11.31663,76.204279999999997,Wandoor,Nilambur,Nilambur,1 - 4,04931208120,48410
Eranhimangad GUPS,11.306609999999999,76.210189999999997,Wandoor,Nilambur,Nilambur,1 - 7,04931206055,48455
GLPS Chungathara Panchayath,11.352719,76.265172000000007,Wandoor,Nilambur,Nilambur,1 - 4,04931232233,48408
GLPS Kattumunda East,11.234498,76.208360999999996,Wandoor,Nilambur,Wandoor,1 - 4,9497345025,48414
GLPS Meppadam,11.229179999999999,76.181820000000002,Wandoor,Nilambur,Wandoor,1 - 4,9447354851,48423
GMLPS Nilambur,11.284931,76.237480000000005,Wandoor,Nilambur,,1 - 4,04931225575,48431
GMLPS Panthalingal,11.22118,76.198030000000003,Wandoor,Nilambur,Wandoor,1 - 4,9497873961,48413
Konamunda GLPS,11.323219999999999,76.218609999999998,Wandoor,Nilambur,Nilambur,1 - 4,9496807317,48416
Mampad North GMLPS,11.247311,76.180296999999996,Wandoor,Nilambur,Wandoor,1 - 4,04931201600,48420
Mooleppadam GLPS,11.322229999999999,76.192520000000002,Wandoor,Nilambur,Nilambur,1 - 4,9946889594,48425
Myladi GUPS,11.304320000000001,76.231290000000001,Wandoor,Nilambur,Nilambur,1 - 7,04931206800,48463
Naduvakkad GLPS,11.24277,76.191029999999998,Wandoor,Nilambur,Wandoor,1 - 4,9048135369,48429
Nilambur GMUPS,11.275869999999999,76.222939999999994,Wandoor,Nilambur,,1 - 7,04931220410,48466
Perumbathur GLPS,11.347239999999999,76.215090000000004,Wandoor,Nilambur,Nilambur,1 - 4,,48437
Pullippadam GLPS,11.24638,76.170119999999997,Wandoor,Nilambur,Wandoor,1 - 4,,48441
Vadapuram GMLPS,11.258115999999999,76.202820000000003,Wandoor,Nilambur,Wandoor,1 - 4,,48445
Valanthode GTLPS,11.3254,76.192359999999994,Wandoor,Nilambur,Nilambur,1 - 4,8086596554,48446
Veettikuth GLPS,11.274050000000001,76.228769999999997,Wandoor,Nilambur,,1 - 4,04931224269,48448
Adakkakundu GLPS,11.163786,76.347607999999994,Wandoor,Wandoor,Kalikavu,1 - 4,04931258285,48501
Akkarakulam GLPS,11.12351,76.292331000000004,Wandoor,Wandoor,Kalikavu,1 - 4,04931284800,48502
Amapoyil GLPS,11.161726,76.308576000000002,Wandoor,Wandoor,Kalikavu,1 - 4,04931259766,48504
Chadangamkulam GLPS,11.217015999999999,76.221098999999995,Wandoor,Wandoor,Wandoor,1 - 5,04931245115,48545
Chokkad GMUPS,11.22275,76.334069999999997,Wandoor,Wandoor,Kalikavu,1 - 7,04931260105,48551
Chokkad Girijan Colony GLPS,11.235471,76.355497999999997,Wandoor,Wandoor,Kalikavu,1 - 4,9747635304,48510
G G V H S S Wandoor,11.19562,76.234258999999994,Wandoor,Wandoor,Wandoor,1 - 12,04931247670,48049
G H S Neelanchery,11.145257000000001,76.322665999999998,Wandoor,Wandoor,Kalikavu,1 -10,04931280060,48558
G.H.S Anchachavadi,11.186529999999999,76.290570000000002,Wandoor,Wandoor,Kalikavu,1 -10,04931257009,48549
Kalikavu Bazar G M U P S,11.1686,76.326620000000005,Wandoor,Wandoor,Kalikavu,1 - 7,04931259301,48553
Kallamoola GLPS,11.21466,76.337699999999998,Wandoor,Wandoor,Kalikavu,1 - 4,,48512
Karuvarakundu GLPS,11.112712999999999,76.327713000000003,Wandoor,Wandoor,Kalikavu,1 - 4,04931280044,48513
Kizhakkethala GLPS,11.124123000000001,76.341958000000005,Wandoor,Wandoor,Kalikavu,1 - 4,04931280243,48515
Koithakundu GLPS,11.134268,76.329210000000003,Wandoor,Wandoor,Kalikavu,1 - 4,04931280041,48516
Kooripoyil GLPS,11.199852999999999,76.297753,Wandoor,Wandoor,Kalikavu,1 - 4,9745029594,48517
Maliyekkal GUPS,11.194906,76.308245999999997,Wandoor,Wandoor,Kalikavu,1 - 7,04931257250,48557
Mampattumoola GLPS,11.221496999999999,76.317111999999995,Wandoor,Wandoor,Kalikavu,1 - 4,04931260162,48519
Mampuzha GLPS,11.121202,76.312343999999996,Wandoor,Wandoor,Kalikavu,1 - 4,04931284898,48520
Mundakkode GLPS,11.103337,76.269120999999998,Wandoor,Wandoor,Kalikavu,1 - 4,04931284022,48521
Pallisseri GLPS,11.179967,76.303280999999998,Wandoor,Wandoor,Kalikavu,1 - 4,04931257006,48523
Pattanamkundu GLPS,11.157698999999999,76.179053999999994,Wandoor,Wandoor,Wandoor,1 - 4,04931325543,48524
Pazhayakadakkal GUPS,11.142177,76.347892000000002,Wandoor,Wandoor,Kalikavu,1 - 7,04931280670,48559
Pazhedam Panampoyil GLPS,11.21106,76.292804000000004,Wandoor,Wandoor,Wandoor,1 - 4,9446154409,48526
Pedayenthal GLPS,11.229359000000001,76.340070999999995,Wandoor,Wandoor,Kalikavu,1 - 4,9495227927,48522
Pookkulam GLPS,11.18966,76.234065999999999,Wandoor,Wandoor,Wandoor,1 - 4,9497114839,48527
Poongode GLPS,11.170318999999999,76.278983999999994,Wandoor,Wandoor,Kalikavu,1 - 4,04931236781,48528
Pullengode GMLPS,11.200585,76.337046999999998,Wandoor,Wandoor,Kalikavu,1 - 4,9809741865,48530
Pulvetta GLPS,11.113842999999999,76.338093000000001,Wandoor,Wandoor,Kalikavu,1 - 4,04931294747,48531
Santhinagar GLPS,11.208766000000001,76.260673999999995,Wandoor,Wandoor,Wandoor,1 - 4,04931236788,48532
Tharish GLPS,11.125284000000001,76.349710999999999,Wandoor,Wandoor,Kalikavu,1 - 4,9744031374,48533
Thiruvali GLPS,11.200862000000001,76.170913999999996,Wandoor,Wandoor,Wandoor,1 - 4,04832720688,48536
Thuvvur GLPS,11.111585,76.284165000000002,Wandoor,Wandoor,Kalikavu,1 - 4,9497872074,48538
Uthirampoyil GLPS,11.187986,76.326544999999996,Wandoor,Wandoor,Kalikavu,1 - 4,04931259033,48539
V.M.D Memorial Govt L.P.S Porur,11.163351,76.249634,Wandoor,Wandoor,Wandoor,1 - 4,,48529
Vaniyambalam CKAGLPS,11.188604,76.262534000000002,Wandoor,Wandoor,Wandoor,1 - 4,9495861257,48540
